loc,text,,,,,,,,,,,,,,,,,,,,,,,,
intro,"I am a neuroscientist and programmer on open-source projects. I work on insect brains. I am interested in how neurons wire together, and how they work together to build complex, innate behaviours. Alive since 23/09/1993.",,,,,,,,,,,,,,,,,,,,,,,,
publications,"This table shows all of my work, searchable on pudmed. Get in contact for information on recents projects",,,,,,,,,,,,,,,,,,,,,,,,
awards,,,,,,,,,,,,,,,,,,,,,,,,,
meetings,,,,,,,,,,,,,,,,,,,,,,,,,
